ID,Skills,Projects,Education,Experience,Job_Role,Required_Skills
46,"Cryptography, Linux, Visualization, Manufacturing, Network Security, Java, Ethical Hacking, Pandas","Cybersecurity Monitoring Tool, Healthcare App",S2,1-2 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
47,"React, JavaScript, Visualization, Design, Java, HTML, Surgery, Pandas","Healthcare App, Stock Prediction Model",S1,3-5 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
48,"NumPy, Microcontrollers, Machine Learning, Node.js, Pharmacology, Manufacturing, Python, C","Cloud Deployment Project, IoT Smart Home",S2,5+ years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
51,"Machine Learning, CSS, PyTorch, Python, CAD, Diagnosis, AWS, Docker","IoT Smart Home, Portfolio Website",S2,1-2 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
52,"Medical Knowledge, Kubernetes, NumPy, Linux, CSS, Node.js, Docker","IoT Smart Home, Cybersecurity Monitoring Tool",S2,Fresher,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
53,"TensorFlow, Cryptography, Machine Learning, PyTorch, Python, Network Security, Diagnosis, Embedded Systems","Portfolio Website, IoT Smart Home",S2,3-5 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
54,"APIs, Patient Care, Cryptography, Data Analysis, SQL, Git, RTOS, SIEM","Fraud Detection System, Resume Analyzer",S1,Fresher,Backend Developer,"Python, Java, SQL, APIs, Git"
55,"Medical Knowledge, Excel, Data Analysis, PyTorch, Communication, Diagnosis, Git","E-commerce Website, Healthcare App",S2,Fresher,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
56,"React, Excel, Data Analysis, Design, Communication, Python, Docker, Pandas","Cybersecurity Monitoring Tool, Portfolio Website",D3,5+ years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
58,"CI/CD, APIs, Deep Learning, JavaScript, Linux, CSS, Git, Java","AI Chatbot, Portfolio Website",S1,3-5 years,Backend Developer,"Python, Java, SQL, APIs, Git"
60,"React, JavaScript, Visualization, Design, Git, HTML, SolidWorks, Pandas","IoT Smart Home, Healthcare App",S1,5+ years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
62,"NumPy, Data Analysis, SQL, Communication, CAD, Diagnosis, Git, RTOS","Resume Analyzer, E-commerce Website",S2,3-5 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
64,"Thermodynamics, TensorFlow, CI/CD, React, Machine Learning, CSS, Node.js, Java","AI Chatbot, Portfolio Website",S2,3-5 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
65,"Data Analysis, CSS, Visualization, Communication, Embedded Systems, RTOS, SIEM","Resume Analyzer, E-commerce Website",S1,1-2 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
66,"CI/CD, APIs, JavaScript, CSS, Python, Git, Electronics","Fraud Detection System, Resume Analyzer",S1,3-5 years,Backend Developer,"Python, Java, SQL, APIs, Git"
68,"TensorFlow, CI/CD, Linux, AWS, RTOS, SolidWorks, Pandas","Resume Analyzer, Cloud Deployment Project",S2,3-5 years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
69,"Thermodynamics, Excel, Network Security, C, Ethical Hacking, Docker, SIEM","Healthcare App, AI Chatbot",S1,5+ years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
71,"Medical Knowledge, APIs, Deep Learning, Communication, Python, Diagnosis, Java, HTML","Cloud Deployment Project, Healthcare App",S1,5+ years,Backend Developer,"Python, Java, SQL, APIs, Git"
73,"Thermodynamics, Kubernetes, Microcontrollers, Data Analysis, Linux, AWS, Docker, SolidWorks","Cloud Deployment Project, Healthcare App",S2,1-2 years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
74,"Excel, Communication, Python, Git, Java, AWS, Docker, Surgery","Resume Analyzer, IoT Smart Home",S2,3-5 years,Backend Developer,"Python, Java, SQL, APIs, Git"
75,"NumPy, Cryptography, Deep Learning, Data Analysis, Linux, Git, Surgery, Pandas","Healthcare App, IoT Smart Home",S2,3-5 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
76,"TensorFlow, Kubernetes, Excel, Machine Learning, Design, PyTorch, Manufacturing, Docker","IoT Smart Home, AI Chatbot",D3,5+ years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
77,"Kubernetes, Data Analysis, Visualization, AWS, Docker, SolidWorks, Surgery","Portfolio Website, IoT Smart Home",S1,1-2 years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
78,"Microcontrollers, Patient Care, JavaScript, CSS, SQL, Git, HTML, SIEM","Healthcare App, Fraud Detection System",S2,1-2 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
81,"Thermodynamics, React, APIs, JavaScript, CSS, Communication, Electronics, HTML","IoT Smart Home, Healthcare App",S1,1-2 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
82,"NumPy, Cryptography, Machine Learning, Data Analysis, Manufacturing, Java, AWS, Docker","Stock Prediction Model, Cloud Deployment Project",S2,1-2 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
85,"TensorFlow, Deep Learning, Machine Learning, CSS, SQL, Embedded Systems, Electronics","AI Chatbot, IoT Smart Home",D3,1-2 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
86,"APIs, SQL, PyTorch, Python, Java, Git, Ethical Hacking, SIEM","Cybersecurity Monitoring Tool, Stock Prediction Model",S1,1-2 years,Backend Developer,"Python, Java, SQL, APIs, Git"
87,"CI/CD, NumPy, Kubernetes, Deep Learning, JavaScript, Linux, Diagnosis, Java","Cybersecurity Monitoring Tool, E-commerce Website",S2,1-2 years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
88,"APIs, Data Analysis, Visualization, SQL, Communication, CAD, C, Pandas","E-commerce Website, Resume Analyzer",S1,5+ years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
89,"React, Deep Learning, JavaScript, Visualization, CSS, Node.js, RTOS, SIEM","Cybersecurity Monitoring Tool, Cloud Deployment Project",S1,5+ years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
91,"Thermodynamics, React, Microcontrollers, Node.js, Ethical Hacking, HTML","E-commerce Website, Cybersecurity Monitoring Tool",S2,Fresher,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
92,"Medical Knowledge, Cryptography, Data Analysis, CSS, SQL, Network Security, Ethical Hacking, SIEM","Healthcare App, AI Chatbot",S1,3-5 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
93,"React, TensorFlow, Cryptography, Network Security, Diagnosis, Embedded Systems, Ethical Hacking","Cloud Deployment Project, Stock Prediction Model",S1,3-5 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
94,"APIs, Excel, Data Analysis, CSS, Visualization, Communication, CAD, Surgery","Fraud Detection System, IoT Smart Home",S1,3-5 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
95,"React, Cryptography, Machine Learning, Design, PyTorch, Python, Network Security, Ethical Hacking","AI Chatbot, E-commerce Website",S1,1-2 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
97,"React, JavaScript, Visualization, Node.js, Git, Ethical Hacking, AWS, HTML","Cloud Deployment Project, E-commerce Website",S1,5+ years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
98,"React, NumPy, Patient Care, JavaScript, CSS, Ethical Hacking, AWS, Pandas","AI Chatbot, Cybersecurity Monitoring Tool",S2,3-5 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
99,"Thermodynamics, CI/CD, Deep Learning, PyTorch, Python, Java, AWS, SolidWorks","Healthcare App, Cloud Deployment Project",S1,1-2 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
102,"Medical Knowledge, Excel, Machine Learning, Data Analysis, SQL, Python, Electronics, Pandas","Cloud Deployment Project, E-commerce Website",S2,1-2 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
103,"React, Cryptography, Python, Manufacturing, Network Security, Docker, Ethical Hacking, HTML","E-commerce Website, Fraud Detection System",D3,5+ years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
105,"TensorFlow, Excel, Deep Learning, Visualization, SQL, Git, C, Pandas","IoT Smart Home, E-commerce Website",S1,Fresher,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
106,"Patient Care, CSS, Visualization, SQL, Communication, Git, C","Cybersecurity Monitoring Tool, Resume Analyzer",S2,1-2 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
107,"TensorFlow, Medical Knowledge, Machine Learning, PyTorch, Python, CAD, Pandas","Resume Analyzer, Cybersecurity Monitoring Tool",S2,1-2 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
108,"Medical Knowledge, Excel, JavaScript, Visualization, Python, Network Security, Ethical Hacking, Surgery","Stock Prediction Model, E-commerce Website",S2,5+ years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
109,"React, Medical Knowledge, Kubernetes, CI/CD, SQL, Python, Ethical Hacking, Docker","Healthcare App, Fraud Detection System",S2,Fresher,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
110,"Medical Knowledge, CI/CD, Kubernetes, SIEM, CAD, Ethical Hacking, AWS, Surgery","Healthcare App, Cloud Deployment Project",S1,Fresher,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
111,"Medical Knowledge, Cryptography, Ethical Hacking, Network Security, Embedded Systems, Electronics, AWS","IoT Smart Home, E-commerce Website",S2,Fresher,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
112,"React, Excel, Cryptography, Linux, PyTorch, Communication, Network Security, SIEM","Healthcare App, Stock Prediction Model",S1,1-2 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
117,"APIs, Communication, Python, Diagnosis, Git, SolidWorks, SIEM","IoT Smart Home, Portfolio Website",D3,1-2 years,Backend Developer,"Python, Java, SQL, APIs, Git"
120,"TensorFlow, NumPy, Microcontrollers, Cryptography, Deep Learning, Python, Git, Java","Resume Analyzer, AI Chatbot",S1,5+ years,Backend Developer,"Python, Java, SQL, APIs, Git"
121,"Kubernetes, Deep Learning, Pharmacology, Python, Network Security, Ethical Hacking, Docker","AI Chatbot, Stock Prediction Model",S2,3-5 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
122,"Deep Learning, SQL, PyTorch, Pharmacology, Python, Git, C, SIEM","AI Chatbot, Portfolio Website",S1,3-5 years,Backend Developer,"Python, Java, SQL, APIs, Git"
123,"CI/CD, Kubernetes, Patient Care, Cryptography, Diagnosis, CAD, Docker, HTML","AI Chatbot, Stock Prediction Model",S1,Fresher,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
124,"Medical Knowledge, Excel, PyTorch, Python, Git, Ethical Hacking, AWS, SIEM","IoT Smart Home, E-commerce Website",S1,5+ years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
125,"Thermodynamics, React, Cryptography, JavaScript, PyTorch, Manufacturing, HTML, SolidWorks","IoT Smart Home, Cybersecurity Monitoring Tool",S2,5+ years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
126,"Kubernetes, APIs, Patient Care, Node.js, SQL, Communication, Python, Git","Healthcare App, Stock Prediction Model",S2,1-2 years,Backend Developer,"Python, Java, SQL, APIs, Git"
127,"Surgery, Patient Care, Deep Learning, Machine Learning, Data Analysis, Git, SIEM, Pandas","Healthcare App, AI Chatbot",S2,1-2 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
129,"APIs, Excel, CSS, SQL, Git, Java, HTML","Resume Analyzer, Portfolio Website",S1,1-2 years,Backend Developer,"Python, Java, SQL, APIs, Git"
130,"Thermodynamics, JavaScript, Node.js, Python, Git, Ethical Hacking, HTML, Surgery","Cloud Deployment Project, IoT Smart Home",S1,1-2 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
131,"APIs, Python, Network Security, Java, Electronics, Docker, SIEM","Cloud Deployment Project, Stock Prediction Model",S2,1-2 years,Backend Developer,"Python, Java, SQL, APIs, Git"
132,"NumPy, Excel, Machine Learning, JavaScript, Visualization, Communication, Diagnosis, Pandas","Stock Prediction Model, E-commerce Website",S2,5+ years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
134,"Kubernetes, NumPy, SQL, Python, Java, HTML, SolidWorks","IoT Smart Home, Cloud Deployment Project",S1,1-2 years,Backend Developer,"Python, Java, SQL, APIs, Git"
135,"Medical Knowledge, Excel, Visualization, Design, Communication, Ethical Hacking","AI Chatbot, IoT Smart Home",S1,1-2 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
136,"APIs, Cryptography, Excel, Data Analysis, Communication, Pharmacology, AWS, SolidWorks","Healthcare App, IoT Smart Home",S2,Fresher,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
137,"Medical Knowledge, NumPy, Data Analysis, JavaScript, Machine Learning, Diagnosis, Embedded Systems, C","Stock Prediction Model, Cybersecurity Monitoring Tool",S2,1-2 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
138,"Thermodynamics, Python, Manufacturing, Network Security, Java, C, Docker, SIEM","Fraud Detection System, E-commerce Website",S1,3-5 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
141,"React, Microcontrollers, Patient Care, Machine Learning, Data Analysis, CSS, Node.js, HTML","Cloud Deployment Project, IoT Smart Home",S1,5+ years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
143,"TensorFlow, Medical Knowledge, Patient Care, Machine Learning, PyTorch, Python, Diagnosis, SIEM","Cybersecurity Monitoring Tool, Cloud Deployment Project",S2,3-5 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
144,"Medical Knowledge, Machine Learning, Data Analysis, Visualization, SQL, Communication, Pandas","Cybersecurity Monitoring Tool, IoT Smart Home",S2,Fresher,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
145,"APIs, Cryptography, JavaScript, SQL, Pharmacology, Ethical Hacking, SIEM, Pandas","Cybersecurity Monitoring Tool, Portfolio Website",S1,Fresher,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
146,"React, NumPy, Excel, Data Analysis, SQL, Communication, Pharmacology","E-commerce Website, Portfolio Website",S1,5+ years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
147,"TensorFlow, Cryptography, JavaScript, Communication, Python, Network Security, Diagnosis, Embedded Systems","Portfolio Website, Cloud Deployment Project",S1,5+ years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
149,"Thermodynamics, TensorFlow, Kubernetes, Machine Learning, Deep Learning, Diagnosis, Embedded Systems, AWS","E-commerce Website, Cloud Deployment Project",S2,5+ years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
150,"Kubernetes, Patient Care, Python, Network Security, Git, SolidWorks, SIEM","Portfolio Website, Cloud Deployment Project",S1,3-5 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
151,"NumPy, Data Analysis, SQL, Python, Java, Git, Ethical Hacking, Docker","E-commerce Website, Healthcare App",S1,5+ years,Backend Developer,"Python, Java, SQL, APIs, Git"
152,"React, JavaScript, Linux, CSS, Node.js, CAD, Diagnosis","Stock Prediction Model, IoT Smart Home",S1,Fresher,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
153,"Patient Care, Machine Learning, JavaScript, CSS, PyTorch, AWS, HTML","AI Chatbot, IoT Smart Home",S2,Fresher,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
154,"NumPy, Cryptography, CAD, Ethical Hacking, AWS, SIEM","Portfolio Website, E-commerce Website",S1,1-2 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
156,"Thermodynamics, HTML, JavaScript, CSS, PyTorch, Diagnosis, Docker, SIEM","Portfolio Website, Resume Analyzer",D3,3-5 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
157,"CI/CD, Microcontrollers, Cryptography, Design, Python, Network Security, CAD, HTML","E-commerce Website, Resume Analyzer",S1,1-2 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
160,"React, TensorFlow, Cryptography, CSS, Design, Node.js, Network Security","Cloud Deployment Project, Resume Analyzer",S1,1-2 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
161,"TensorFlow, Data Analysis, Visualization, SQL, Communication, Git, C, SIEM","Cybersecurity Monitoring Tool, AI Chatbot",S2,5+ years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
162,"CI/CD, Deep Learning, Linux, SQL, Embedded Systems, Docker, AWS, HTML","E-commerce Website, Cloud Deployment Project",S1,Fresher,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
164,"NumPy, Cryptography, Machine Learning, Ethical Hacking, Network Security, Electronics, SIEM","Resume Analyzer, Cloud Deployment Project",S2,5+ years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
165,"React, TensorFlow, Kubernetes, PyTorch, Python, Network Security, Java, RTOS","AI Chatbot, Portfolio Website",S2,Fresher,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
166,"React, HTML, Patient Care, Data Analysis, Visualization, Node.js, Docker, Surgery","Cloud Deployment Project, Portfolio Website",D3,Fresher,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
167,"Thermodynamics, APIs, Visualization, Design, SQL, Java, Electronics, Surgery","Fraud Detection System, Cloud Deployment Project",S2,5+ years,Backend Developer,"Python, Java, SQL, APIs, Git"
168,"CI/CD, Linux, CSS, SQL, PyTorch, Pharmacology, AWS, Surgery","Stock Prediction Model, Healthcare App",D3,3-5 years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
171,"NumPy, Patient Care, Deep Learning, Data Analysis, Machine Learning, Visualization, Network Security, Surgery","Portfolio Website, Stock Prediction Model",S1,Fresher,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
172,"TensorFlow, Machine Learning, Deep Learning, Visualization, Diagnosis, Embedded Systems, Docker","Healthcare App, Resume Analyzer",S2,3-5 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
173,"TensorFlow, Kubernetes, Linux, Manufacturing, Diagnosis, C, AWS, Docker","Stock Prediction Model, Healthcare App",S1,1-2 years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
174,"React, JavaScript, CSS, SQL, Python, Java, SolidWorks","Healthcare App, Portfolio Website",S2,3-5 years,Backend Developer,"Python, Java, SQL, APIs, Git"
175,"Kubernetes, Cryptography, Linux, C, Docker, SIEM","AI Chatbot, Cloud Deployment Project",S1,Fresher,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
176,"React, Deep Learning, Machine Learning, Pharmacology, Python, Electronics, SIEM, Pandas","Resume Analyzer, Stock Prediction Model",S1,5+ years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
178,"React, NumPy, SQL, Communication, Network Security, Git, Java, Docker","IoT Smart Home, Healthcare App",S1,3-5 years,Backend Developer,"Python, Java, SQL, APIs, Git"
180,"Medical Knowledge, Data Analysis, Node.js, Python, CAD, AWS, Pandas","AI Chatbot, Portfolio Website",S2,5+ years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
181,"Cryptography, Linux, Design, Ethical Hacking, AWS, Docker, RTOS, Surgery","AI Chatbot, Portfolio Website",S2,1-2 years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
183,"Medical Knowledge, NumPy, Deep Learning, Data Analysis, Machine Learning, Visualization, Communication, Electronics","AI Chatbot, IoT Smart Home",D3,5+ years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
185,"React, Thermodynamics, Microcontrollers, Excel, Node.js, Pharmacology, HTML","IoT Smart Home, Resume Analyzer",S1,3-5 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
186,"React, TensorFlow, CSS, Node.js, PyTorch, Git, HTML","E-commerce Website, Stock Prediction Model",S2,Fresher,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
187,"CI/CD, Excel, Data Analysis, JavaScript, Visualization, SQL, Python, SolidWorks","Cloud Deployment Project, Fraud Detection System",S1,5+ years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
